Observation URI,refArea,Percentage of cases out of national total ,structure,Existence of chronic diseases - Hypertension,Existence of chronic diseases - does not exist,Town,Nb of Covid-19 cases,Existence of chronic diseases - Cardiovascular disease ,dataset,Existence of chronic diseases - Diabetes 
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qlaileh+Sour,Tyre_District,1e-01,nan,1,0,Qlaileh Sour,1018,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qleiaat+Aakkar,Akkar_Governorate,2e-02,nan,1,0,Qleiaat Aakkar,168,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qleiaat+Kesrouane,Keserwan_District,7e-02,nan,1,0,Qleiaat Kesrouane,696,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qloud+El-Baqieh,Akkar_Governorate,0e+00,nan,1,0,Qloud El-Baqieh,1,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qmatiyeh,Aley_District,8e-02,nan,1,0,Qmatiyeh,889,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qnat,Bsharri_District,0e+00,nan,1,0,Qnat,41,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qobbayaa,Baabda_District,2e-02,nan,1,0,Qobbayaa,189,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qornayel,Baabda_District,5e-02,nan,1,0,Qornayel,485,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qornet+Aakkar,Akkar_Governorate,1e-02,nan,1,0,Qornet Aakkar,60,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qornet+El-Hamra,Matn_District,7e-02,nan,0,1,Qornet El-Hamra,761,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qortada,Baabda_District,1e-02,nan,1,0,Qortada,76,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qoubber+Chamra,Akkar_Governorate,1e-02,nan,1,0,Qoubber Chamra,67,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qounaitra,Sidon_District,0e+00,nan,1,0,Qounaitra,18,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qoussaya,ZahlÃ©_District,1e-02,nan,1,0,Qoussaya,104,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qraine,MiniyehâDanniyeh_District,0e+00,nan,1,0,Qraine,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qraiyat,Akkar_Governorate,1e-02,nan,1,0,Qraiyat,64,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qraiyeh,Baabda_District,1e-02,nan,1,0,Qraiyeh,93,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qraiyet+Jlayse,Byblos_District,0e+00,nan,1,0,Qraiyet Jlayse,28,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qraiyet+Saida,Sidon_District,3e-02,nan,1,0,Qraiyet Saida,287,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qsaibet+En-Nabatiyeh,Nabatieh_Governorate,1e-02,nan,1,0,Qsaibet En-Nabatiyeh,133,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Qsarnaba,Baalbek-Hermel_Governorate,5e-02,nan,1,0,Qsarnaba,552,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Raachine,Keserwan_District,2e-02,nan,1,0,Raachine,251,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Raait,ZahlÃ©_District,3e-02,nan,1,0,Raait,346,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rabb+Et-Tlatine,Marjeyoun_District,0e+00,nan,1,0,Rabb Et-Tlatine,51,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rabieh,Matn_District,1.7e-01,nan,0,0,Rabieh,1838,1,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rachaaine,Zgharta_District,7e-02,nan,1,0,Rachaaine,790,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rachaf,Bint_Jbeil_District,2e-02,nan,1,0,Rachaf,167,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rachaiya+El-Foukhar,Hasbaya_District,0e+00,nan,1,0,Rachaiya El-Foukhar,9,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rachaya+El+Wadi,Beqaa_Governorate,5e-02,nan,1,0,Rachaya El Wadi,476,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rafid+Rachaya,Beqaa_Governorate,2e-02,nan,1,0,Rafid Rachaya,178,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rahbeh,Akkar_Governorate,7e-02,nan,1,0,Rahbeh,710,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ram,Baalbek-Hermel_Governorate,0e+00,nan,1,0,Ram,12,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ramlieh,Aley_District,0e+00,nan,1,0,Ramlieh,8,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ramyet+Bent+Jbeil,Bint_Jbeil_District,1e-02,nan,1,0,Ramyet Bent Jbeil,115,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ras+Baalbek+Ech-Charqi,Baalbek-Hermel_Governorate,1e-02,nan,1,0,Ras Baalbek Ech-Charqi,84,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ras+El+Matn,Baabda_District,6e-02,nan,0,0,Ras El Matn,668,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ras+El-Href,Baabda_District,1e-02,nan,1,0,Ras El-Href,69,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ras+Kifa,Zgharta_District,0e+00,nan,1,0,Ras Kifa,51,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ras+Masqa,North_Governorate,1e-01,nan,1,0,Ras Masqa,1051,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rasha,Batroun_District,0e+00,nan,1,0,Rasha,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rashana,Batroun_District,0e+00,nan,1,0,Rashana,17,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rawda+Bekaa,Western_Beqaa_District,0e+00,nan,1,0,Rawda Bekaa,13,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rawda+Village,MiniyehâDanniyeh_District,0e+00,nan,1,0,Rawda Village,4,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rayfoun,Keserwan_District,2e-02,nan,1,0,Rayfoun,253,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rechdibbine,North_Governorate,3e-02,nan,1,0,Rechdibbine,277,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Richmaiya,Aley_District,0e+00,nan,1,0,Richmaiya,45,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rihan+Jezzine,South_Governorate,0e+00,nan,1,0,Rihan Jezzine,51,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rihana,Byblos_District,0e+00,nan,1,0,Rihana,31,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rihaniyet+Aakkar,Akkar_Governorate,1e-02,nan,1,0,Rihaniyet Aakkar,131,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rihaniyet+Minie,MiniyehâDanniyeh_District,3e-02,nan,1,0,Rihaniyet Minie,321,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rijmeh,Aley_District,0e+00,nan,1,0,Rijmeh,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rimat,South_Governorate,0e+00,nan,1,0,Rimat,9,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rimhala,Aley_District,0e+00,nan,1,0,Rimhala,17,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rmadiyeh,Tyre_District,4e-02,nan,1,0,Rmadiyeh,399,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rmaich,Bint_Jbeil_District,7e-02,nan,0,0,Rmaich,705,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rmeilet+Ech-Chouf,Mount_Lebanon_Governorate,2e-02,nan,1,0,Rmeilet Ech-Chouf,209,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Rouayssrt+El-Ballout,Baabda_District,0e+00,nan,1,0,Rouayssrt El-Ballout,41,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Roum,South_Governorate,1e-02,nan,1,0,Roum,113,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Roumieh,Matn_District,8e-02,nan,1,0,Roumieh,832,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Roumine,Nabatieh_Governorate,2e-02,nan,1,0,Roumine,209,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Saadine,Akkar_Governorate,0e+00,nan,1,0,Saadine,25,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Saadnayel,ZahlÃ©_District,1.2e-01,nan,1,0,Saadnayel,1279,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Saaideh,Baalbek-Hermel_Governorate,1e-02,nan,0,0,Saaideh,92,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Sabbah,South_Governorate,0e+00,nan,1,0,Sabbah,14,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Sadiqine,Tyre_District,1e-01,nan,1,0,Sadiqine,1059,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Safad+Al-Battikh,Bint_Jbeil_District,3e-02,nan,0,0,Safad Al-Battikh,343,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Safra+Kesrouane,Keserwan_District,1.3e-01,nan,1,0,Safra Kesrouane,1368,1,Health_Status-Lebanon-2023,1
